URLs,Frequency,Dates
dlvr.it/PjRBvK,1,['2017-08-29T16:42:3']
goo.gl/fb/kSNbK,1,['2017-08-29T16:39:4']
cheekywiki.com/,1,['2017-08-29T16:39:3']
goo.gl/fb/yiwSp,1,['2017-08-29T16:39:1']
zpr.io/PWbYM,1,['2017-08-29T16:38:3']
goo.gl/fb/zfxmB,1,['2017-08-29T16:37:5']
goo.gl/6G5MkJ,1,['2017-08-29T16:30:3']
twitter.com/i/w,1,['2017-08-29T16:29:5']
zpr.io/PWbGd,1,['2017-08-29T16:18:1']
dlvr.it/PjQwNx,1,['2017-08-29T16:16:2']
ow.ly/opIN50dJ3,1,['2017-08-29T16:15:4']
twitter.com/i/w,1,['2017-08-29T16:15:3']
people.com/poli,1,['2017-08-29T16:15:2']
twitter.com/Ayn,1,['2017-08-29T16:14:5']
twitter.com/i/w,1,['2017-08-29T16:10:0']
fb.me/1xwSqqwY8,1,['2017-08-29T16:03:2']
trendolizer.co,1,['2017-08-29T16:01:2']
klou.tt/1hci3yl,1,['2017-08-29T16:00:3']
disaster.trendo,1,['2017-08-29T15:57:0']
fb.me/7e5LEMq1X,1,['2017-08-29T15:49:5']
occuworld.org/,1,['2017-08-29T15:48:0']
fb.me/7E9ioaWzb,1,['2017-08-29T15:26:5']
twitter.com/i/w,1,['2017-08-29T15:24:2']
thewrap.com/tw,1,['2017-08-29T15:12:5']
fb.me/8znekGJTc,1,['2017-08-29T15:07:4']
thealtstandard.,1,['2017-08-29T15:05:1']
detboat.com/mel,1,['2017-08-29T15:04:3']
twitter.com/i/w,1,['2017-08-29T15:03:3']
goo.gl/fb/En3P7,1,['2017-08-29T14:53:1']
twitter.com/i/w,1,['2017-08-29T14:41:1']
twitter.com/i/w,1,['2017-08-29T14:00:4']
twitter.com/nbc,1,['2017-08-29T13:59:2']
twitter.com/ast,1,['2017-08-29T13:09:1']
twitter.com/i/w,1,['2017-08-29T13:01:4']
twitter.com/i/w,1,['2017-08-29T12:55:0']
twitter.com/fun,1,['2017-08-29T12:49:4']
twitter.com/i/w,1,['']
